Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-30,Remy,Dog,"Retriever, Black Labrador",Adult Dog (6 months+),Adopted,01/03/2013,Stray,09/03/2019,Adoption,2435,2427,9
GPG-A-32,Dory,Dog,"Shepherd, German",Adult Dog (6 months+),Euthanasia,01/26/2014,Stray,03/31/2020,Euthanasia,2257,2039,9
GPG-A-34,Pumpkin,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,02/01/2015,Stray,07/09/2020,Adoption,1986,1668,319
GPG-A-35,Cowboy,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,10/10/2015,Stray,12/04/2019,Adoption,1517,1417,98
GPG-A-37,Connor,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,02/16/2016,Owner/Guardian Surrender,05/26/2020,Adoption,1562,1288,275
GPG-A-38,Reilly,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,02/18/2016,Transfer In,02/12/2020,Adoption,1456,1290,171
GPG-A-39,Ivy,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,08/24/2016,Owner/Guardian Surrender,05/21/2020,Adoption,1367,1098,270
GPG-A-40,Lefty,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,01/10/2017,Transfer In,12/30/2019,Adoption,1085,959,127
GPG-A-33,Bowie,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,03/20/2017,Transfer In,08/24/2020,Adoption,1254,898,365
GPG-A-42,Tinkerbell,Dog,"Terrier, Staffordshire Bull",Adult Dog (6 months+),Adopted,08/13/2017,Stray,06/23/2020,Adoption,1046,747,302
GPG-A-44,Sonnie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/16/2017,Transfer In,09/09/2019,Adoption,663,649,15
GPG-A-45,Lilly,Dog,Boxer,Adult Dog (6 months+),Adopted,01/03/2018,Transfer In,10/04/2019,Adoption,640,605,40
GPG-A-46,Tiffanie,Dog,"Malinois, Belgian",Adult Dog (6 months+),Adopted,01/15/2018,Owner/Guardian Surrender,12/04/2019,Adoption,689,589,101
GPG-A-47,Percy,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,01/25/2018,Transfer In,09/17/2019,Adoption,601,579,22
GPG-A-49,Renoir,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,02/20/2018,Owner/Guardian Surrender,09/21/2019,Adoption,579,553,27
GPG-A-252,Charm,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,03/14/2018,Stray,10/18/2019,Adoption,583,0,583
GPG-A-51,Alicia - C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,09/09/2018,Stray,09/16/2019,Adoption,373,352,22
GPG-A-53,Jelly Bean,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,09/20/2018,Transfer In,12/20/2019,Adoption,457,357,457
GPG-A-54,Seattle,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,10/09/2018,Stray,10/03/2019,Adoption,360,325,39
GPG-A-48,Ducky-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,10/17/2018,Born In Care,01/16/2020,Adoption,457,314,143
GPG-A-55,Boyer,Dog,"Bulldog, American",Adult Dog (6 months+),Adopted,11/27/2018,Transfer In,10/22/2019,Adoption,330,273,57
GPG-A-52,Al,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,12/25/2018,Owner/Guardian Surrender,06/20/2020,Adoption,544,285,300
GPG-A-43,Glo,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,01/23/2019,Stray,12/09/2019,Adoption,321,216,106
GPG-A-56,McClain,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,01/28/2019,Owner/Guardian Surrender,02/14/2020,Adoption,383,248,172
GPG-A-1,Henry,Dog,Mixed Breed (Medium),Adult Dog (6 months+),Redeemed,02/08/2019,Transfer In,08/23/2019,Return to Owner/Guardian,196,196,0
GPG-A-31,Miss Bliss,Dog,"Terrier, Boston",Adult Dog (6 months+),Adopted,02/12/2019,Transfer In,10/25/2019,Adoption,256,196,60
GPG-A-57,Littlefoot-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,02/18/2019,Born In Care,07/17/2020,Adoption,516,190,1
GPG-A-36,Angie,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/12/2019,Transfer In,02/14/2020,Adoption,340,168,172
GPG-A-58,Caleb,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,03/14/2019,Transfer In,10/08/2019,Adoption,209,166,43
GPG-A-59,Pickles,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,03/15/2019,Transfer In,10/27/2019,Adoption,227,165,63
GPG-A-146,Rodney,Dog,Rottweiler,Adult Dog (6 months+),Adopted,03/18/2019,Owner/Guardian Surrender,09/08/2019,Adoption,175,162,175
GPG-A-156,Cressalia - C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/13/2019,Stray,12/16/2019,Adoption,248,0,248
GPG-A-157,Luxio-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/13/2019,Stray,09/09/2019,Adoption,150,0,150
GPG-A-60,Easter,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,04/16/2019,Stray,09/03/2019,Adoption,141,141,9
GPG-A-61,Angela,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,04/22/2019,Owner/Guardian Surrender,09/12/2019,Adoption,144,127,17
GPG-A-63,Lonnie - C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/24/2019,Owner/Guardian Surrender,09/29/2019,Adoption,159,125,35
GPG-A-62,Linden - C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,04/24/2019,Owner/Guardian Surrender,10/24/2019,Adoption,184,125,59
GPG-A-64,Pepsi,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,05/19/2019,Owner/Guardian Surrender,09/09/2019,Adoption,114,100,15
GPG-A-65,Sharon-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,05/21/2019,Stray,09/28/2019,Adoption,131,98,34
GPG-A-66,Binnington-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,05/22/2019,Owner/Guardian Surrender,09/09/2019,Adoption,111,97,15
GPG-A-69,Pietrangelo-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,05/22/2019,Owner/Guardian Surrender,09/25/2019,Adoption,127,97,30
GPG-A-68,Dunn-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,05/22/2019,Owner/Guardian Surrender,09/04/2019,Adoption,106,97,10
GPG-A-67,Dot-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,05/22/2019,Owner/Guardian Surrender,01/06/2020,Adoption,230,97,133
GPG-A-148,Tarasenko-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,05/22/2019,Stray,09/09/2019,Adoption,110,97,110
GPG-A-70,Athea,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,05/31/2019,Transfer In,09/12/2019,Adoption,105,88,18
GPG-A-72,Dali,Dog,Collie,Adult Dog (6 months+),Adopted,06/06/2019,Owner/Guardian Surrender,09/20/2019,Adoption,107,82,26
GPG-A-71,Payton,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,06/06/2019,Stray,11/29/2019,Adoption,177,82,95
GPG-A-160,Cera-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,06/07/2019,Transfer In,01/10/2020,Adoption,218,0,218
GPG-A-73,Natalya,Dog,"Terrier, American Staffordshire",Adult Dog (6 months+),Adopted,06/13/2019,Transfer In,09/16/2019,Adoption,96,75,21
GPG-A-74,Sis,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,06/15/2019,Owner/Guardian Surrender,10/20/2019,Adoption,128,74,56
GPG-A-147,Athena Celeste,Dog,"Shepherd, German",Adult Dog (6 months+),Adopted,06/18/2019,Stray,09/16/2019,Adoption,90,79,81
GPG-A-41,Trixie,Dog,Boxer,Adult Dog (6 months+),Adopted,06/19/2019,Owner/Guardian Surrender,12/09/2019,Adoption,174,69,106
GPG-A-77,Helena-C,Cat,Domestic Shorthair,Adult Cat (6 months+),Adopted,06/22/2019,Stray,01/25/2020,Adoption,218,66,152
